datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-15_18-14,llaplace,1,sub-3000013_all_eeg_s1_r1_e1,3000013,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_all_eeg_s2_r1_e1,3000013,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_all_eeg_s3_r1_e1,3000013,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_all_zoom_s1_r1_e1,3000013,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_all_zoom_s2_r1_e1,3000013,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_all_zoom_s3_r1_e1,3000013,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_arrow-alert-v1-2_psychopy_s1_r1_e1,3000013,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_arrow-alert-v1-2_psychopy_s2_r1_e1,3000013,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000013_arrow-alert-v1-2_psychopy_s3_r1_e1,3000013,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_audacity_s1_r1_e1,3000014,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_audacity_s2_r1_e1,3000014,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_audacity_s3_r1_e1,3000014,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_digi_s1_r1_e1,3000014,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_digi_s2_r1_e1,3000014,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_digi_s3_r1_e1,3000014,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_eeg_s1_r1_e1,3000014,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_eeg_s2_r1_e1,3000014,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_eeg_s3_r1_e1,3000014,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_zoom_s1_r1_e1,3000014,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_zoom_s2_r1_e1,3000014,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_all_zoom_s3_r1_e1,3000014,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_arrow-alert-v1-2_psychopy_s1_r1_e1,3000014,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_arrow-alert-v1-2_psychopy_s2_r1_e1,3000014,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000014_arrow-alert-v1-2_psychopy_s3_r1_e1,3000014,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_audacity_s1_r1_e1,3000015,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_audacity_s2_r1_e1,3000015,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_audacity_s3_r1_e1,3000015,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_digi_s1_r1_e1,3000015,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_digi_s2_r1_e1,3000015,digi,1,s2_r1,,
